composition,activity Acetone,activity n-Pentane,potential Acetone,potential n-Pentane,total Gibbs energy
0.05,1,1,-7742.690355816322,-246.57221065129457,-621.378117909546
0.1,1,1,-5973.502878449478,-384.57327808710374,-943.4662381233412
0.15000000000000002,1,1,-4938.594547444416,-530.4642992553611,-1191.6838364837195
0.2,1,1,-4204.315401082636,-685.2024627303855,-1389.0250504008354
0.25,1,1,-3634.764246995349,-849.93045500488,-1546.138903002497
0.3,1,1,-3169.4070700775733,-1026.027722202432,-1669.0415265649744
0.35,1,1,-2775.953183187839,-1215.1807621116473,-1761.4511094883142
0.39999999999999997,1,1,-2435.1279237157923,-1419.4816090921659,-1825.7401349416166
0.44999999999999996,1,1,-2134.498739072511,-1641.5692736977435,-1863.3875331163888
0.49999999999999994,1,1,-1865.5767696285059,-1884.8387860099424,-1875.207777819224
0.5499999999999999,1,1,-1622.3072573163067,-2153.760755453947,-1861.4613314782448
0.6,1,1,-1400.2195927107296,-2454.3899400972286,-1821.8877316653293
0.65,1,1,-1195.9187457302105,-2795.2151995692757,-1755.672504573883
0.7000000000000001,1,1,-1006.7657058209949,-3188.66908645901,-1661.3367200123994
0.7500000000000001,1,1,-830.6684386234429,-3654.026263376787,-1536.5078948117784
0.8000000000000002,1,1,-665.9404463489483,-4223.577417464075,-1377.467840571973
0.8500000000000002,1,1,-511.20228287392354,-4957.856563825857,-1178.2004250167126
0.9000000000000002,1,1,-365.31126170566625,-5992.7648948309225,-928.0566250181905
0.9500000000000003,1,1,-227.31019426985682,-7761.952372197774,-604.0423031662506
